iter	MultiClass
0	1.086330058
1	1.075384714
2	1.06546929
3	1.056478484
4	1.048178668
5	1.040699028
6	1.033937554
7	1.02747319
8	1.021398434
9	1.015659226
10	1.010595802
11	1.005821196
12	1.001419834
13	0.9971913893
14	0.993409762
15	0.9898133008
16	0.9866314445
17	0.9834018512
18	0.9800929485
19	0.9773136184
20	0.9746146474
21	0.9723660939
22	0.9700462778
23	0.967923883
24	0.9657069117
25	0.9638823827
26	0.9622476176
27	0.960676295
28	0.9590912384
29	0.9577368886
30	0.9561803269
31	0.9547694866
32	0.9533478055
33	0.9520036676
34	0.9509852048
35	0.949896259
36	0.9487272641
37	0.9478385565
38	0.946696694
39	0.9457115533
40	0.9449459497
41	0.9442274944
42	0.943485242
43	0.9428285462
44	0.9420883274
45	0.9413539934
46	0.9407219783
47	0.9401349677
48	0.9393864413
49	0.9388783532
50	0.9383480862
51	0.9376391384
52	0.9369336223
53	0.9361907449
54	0.9354946195
55	0.9350622168
56	0.9346288511
57	0.9342521644
58	0.9335968356
59	0.9332323697
60	0.9326586191
61	0.9322898051
62	0.931958997
63	0.931502301
64	0.9311295688
65	0.9308272922
66	0.9305606767
67	0.9301251048
68	0.9298675058
69	0.9296041248
70	0.9292334616
71	0.9289439876
72	0.9285618227
73	0.9283207874
74	0.9280848887
75	0.9277369072
76	0.9273822081
77	0.9271644616
78	0.9269451978
79	0.9267531255
80	0.9265769356
81	0.9263743976
82	0.9262213639
83	0.9260287382
84	0.9257233722
85	0.9254579217
86	0.9253099329
87	0.9251320862
88	0.9249057376
89	0.9246295664
90	0.9244270801
91	0.9242530787
92	0.9240500286
93	0.9238060344
94	0.9236258802
95	0.9234974938
96	0.9233672694
97	0.9232215125
98	0.9230866072
99	0.9228971883
100	0.9227207999
101	0.9225190333
102	0.9223677504
103	0.922219208
104	0.9220917891
105	0.921963461
106	0.9218243229
107	0.9216592514
108	0.9215220048
109	0.9214106049
110	0.9213167121
111	0.9212064774
112	0.9210941161
113	0.9209116452
114	0.9208047323
115	0.9207063655
116	0.9206035846
117	0.9205414406
118	0.9204130884
119	0.9202391748
120	0.9201605931
121	0.9200813397
122	0.9200077537
123	0.9199145057
124	0.9198499023
125	0.919748624
126	0.9196472201
127	0.9195438393
128	0.9194670388
129	0.9193104998
130	0.9192454093
131	0.919149993
132	0.9190550053
133	0.9189729158
134	0.9188293918
135	0.9187097734
136	0.918635546
137	0.9185725393
138	0.9184846283
139	0.9184213602
140	0.9183378333
141	0.9182503116
142	0.9181081721
143	0.918031601
144	0.9179210893
145	0.9178128117
146	0.9177457341
147	0.9176830337
148	0.9176071951
149	0.9175206464
150	0.9174465126
151	0.9173892797
152	0.9173497624
153	0.9172835669
154	0.9171948083
155	0.9171398528
156	0.9170780858
157	0.9170204646
158	0.916974042
159	0.9168752916
160	0.916834394
161	0.9167816958
162	0.9167237156
163	0.9166577466
164	0.9165745636
165	0.9164948768
166	0.9163815088
167	0.9163106443
168	0.9162557618
169	0.9161941532
170	0.9161166228
171	0.916067884
172	0.9159805433
173	0.9158867872
174	0.9158223241
175	0.9157653709
176	0.9157133451
177	0.9156745294
178	0.9156307414
179	0.9155841837
180	0.9155276713
181	0.9154921267
182	0.915456757
183	0.915416056
184	0.9153793214
185	0.9153326243
186	0.9152652168
187	0.915216438
188	0.9151727191
189	0.9151230228
190	0.9150832767
191	0.9150305477
192	0.9149942421
193	0.9149373454
194	0.91488365
195	0.9148439488
196	0.9147727226
197	0.9147046746
198	0.9146750881
199	0.9146068663
200	0.9145696094
201	0.9145234154
202	0.9144668495
203	0.9143943497
204	0.9143440151
205	0.9143058489
206	0.9142743811
207	0.9142327403
208	0.9141908873
209	0.9141332568
210	0.9140827585
211	0.9140217859
212	0.9139768481
213	0.9139491022
214	0.9139220052
215	0.9138919637
216	0.9138542002
217	0.9138135724
218	0.9137416419
219	0.9137014366
220	0.91367238
221	0.9136445906
222	0.9135994166
223	0.9135625802
224	0.9135322047
225	0.913489848
226	0.9134644725
227	0.9134038061
228	0.9133772616
229	0.9133493472
230	0.9133097037
231	0.913272577
232	0.9132104258
233	0.9131846245
234	0.9131563381
235	0.9131191774
236	0.9130633295
237	0.9130353051
238	0.913011807
239	0.9129581197
240	0.9129282837
241	0.9128958239
242	0.9128680822
243	0.9128419047
244	0.9128182894
245	0.9127706767
246	0.9127312835
247	0.9127021899
248	0.9126656597
249	0.9126445479
250	0.9126089999
251	0.9125842736
252	0.9125579633
253	0.9125307454
254	0.9125079957
255	0.9124871911
256	0.9124430698
257	0.9124229448
258	0.9123727635
259	0.9123496188
260	0.9123312995
261	0.9123104753
262	0.9122766706
263	0.9122397937
264	0.9122268945
265	0.912197074
266	0.9121642578
267	0.9121475926
268	0.9121289152
269	0.9121062602
270	0.912063903
271	0.9120082223
272	0.9119647369
273	0.9119072467
274	0.9118625243
275	0.9118375974
276	0.9118097191
277	0.9117913366
278	0.9117723868
279	0.911750332
280	0.9117198893
281	0.9117013335
282	0.9116670011
283	0.911620979
284	0.9115630468
285	0.9115163825
286	0.9114766231
287	0.9114368608
288	0.9113960768
289	0.9113756463
290	0.9113272743
291	0.9113043412
292	0.9112743862
293	0.9112539534
294	0.9112356186
295	0.9112037543
296	0.9111742207
297	0.9111518543
298	0.9111121349
299	0.9110738386
