iter	Passed	Remaining
0	3450	1031643
1	6121	912038
2	8820	873220
3	11442	846722
4	13660	805992
5	16235	795530
6	18997	795179
7	21094	769952
8	23640	764364
9	26075	756185
10	28320	744051
11	30807	739385
12	33510	739800
13	35826	731892
14	38244	726646
15	40576	720239
16	43006	715923
17	45510	712996
18	47627	704392
19	49988	699837
20	52487	697329
21	55322	699077
22	57753	695551
23	60557	696415
24	62621	688839
25	65552	690818
26	68276	690353
27	71241	692058
28	73944	691000
29	76781	691035
30	79187	687141
31	81875	685711
32	84839	686430
33	87400	683782
34	90175	682760
35	92988	681916
36	95274	677221
37	97890	674927
38	100393	671866
39	102897	668831
40	105442	666086
41	108115	664139
42	110709	661681
43	113444	660039
44	116173	658315
45	118919	656640
46	121198	652409
47	123804	649972
48	126312	647029
49	129069	645348
50	131874	643859
51	134508	641500
52	137421	640436
53	139825	636980
54	142388	634274
55	145547	634173
56	148364	632503
57	151085	630392
58	153400	626600
59	156476	625907
60	158542	621176
61	160947	617832
62	163661	615677
63	166384	613541
64	169082	611296
65	171596	608389
66	174381	606430
67	176496	602164
68	179083	599539
69	182285	598938
70	185072	596923
71	187949	595174
72	190736	593113
73	193613	591305
74	196358	589074
75	198856	586102
76	201432	583368
77	204357	581632
78	207243	579757
79	210089	577746
80	213141	576271
81	215867	573892
82	218483	571216
83	221286	569023
84	223570	565502
85	225329	560702
86	228048	558325
87	230426	555118
88	232996	552384
89	235420	549314
90	238252	547196
91	240689	544167
92	243497	541977
93	245831	538737
94	248576	536402
95	250873	533105
96	253497	530514
97	256319	528331
98	259170	526193
99	261688	523377
100	264038	520234
101	266667	517649
102	269335	515136
103	271629	511917
104	274491	509770
105	277240	507403
106	279528	504196
107	281897	501151
108	284974	499359
109	287863	497218
110	290600	494806
111	293424	492534
112	296330	490387
113	299617	488849
114	303248	487834
115	306841	486714
116	309882	484688
117	312456	481924
118	314793	478803
119	317338	476008
120	320134	473587
121	322747	470894
122	325702	468694
123	329718	467987
124	332783	465896
125	336643	464888
126	339913	463031
127	343705	461854
128	347049	460042
129	350304	458090
130	353676	456269
131	356755	454052
132	360709	452921
133	364335	451340
134	367594	449281
135	393521	474540
136	414443	493097
137	418711	491531
138	423489	490517
139	427466	488532
140	431760	486879
141	444695	494802
142	466342	511998
143	476503	516211
144	481235	514423
145	484961	511534
146	489815	509808
147	494547	507913
148	505466	512251
149	509832	509832
150	513815	507009
151	517890	504261
152	521175	500737
153	524632	497378
154	528639	494534
155	532212	491273
156	535670	487903
157	539348	484730
158	543234	481736
159	546308	478020
160	549940	474793
161	553658	471634
162	558164	469132
163	561565	465688
164	564741	462061
165	568728	459094
166	572763	456152
167	577019	453372
168	580929	450306
169	584440	446924
170	588626	444051
171	592451	440894
172	595936	437479
173	599881	434397
174	603365	430975
175	606685	427437
176	610309	424113
177	613860	420735
178	617334	417304
179	621069	414046
180	624590	410642
181	628545	407518
182	632453	404355
183	636236	401105
184	640341	398049
185	644324	394908
186	647127	391044
187	650357	387447
188	653572	383844
189	657276	380528
190	661160	377311
191	665327	374246
192	669408	371123
193	672650	367530
194	675833	363910
195	679845	360734
196	684132	357693
197	687847	354345
198	691460	350942
199	695565	347782
200	699278	344420
201	702961	341040
202	706036	337367
203	709260	333769
204	712613	330235
205	716250	326832
206	720182	323560
207	723781	320134
208	727367	316700
209	731167	313357
210	734480	309804
211	737815	306263
212	741327	302795
213	744798	299311
214	748392	295876
215	752386	292594
216	755737	289060
217	759235	285584
218	763214	282284
219	767185	278976
220	770553	275446
221	774100	271981
222	777397	268428
223	781128	265025
224	785192	261730
225	788949	258328
226	792583	254883
227	796496	251525
228	800077	248059
229	803555	244560
230	806323	240849
231	810192	237470
232	814066	234087
233	817564	230595
234	821552	227237
235	825844	223957
236	829458	220488
237	833414	217107
238	836854	213590
239	840659	210164
240	844653	206782
241	848642	203393
242	852475	199963
243	856332	196535
244	860116	193087
245	863854	189626
246	867849	186218
247	871674	182770
248	875526	179324
249	879365	175873
250	883379	172452
251	887486	169045
252	891259	165569
253	894459	161988
254	898156	158498
255	902044	155038
256	905334	151476
257	909120	147996
258	912450	144441
259	916220	140956
260	919647	137418
261	923535	133947
262	927754	130520
263	930936	126945
264	934651	123444
265	938634	119975
266	942286	116462
267	946068	112963
268	949856	109462
269	952990	105887
270	957383	102450
271	960665	98892
272	963367	95278
273	966857	91745
274	970470	88224
275	973718	84671
276	977569	81170
277	981259	77653
278	985230	74157
279	988871	70633
280	992087	67080
281	995395	63535
282	998686	59991
283	1002602	56484
284	1005906	52942
285	1009218	49402
286	1012487	45861
287	1015187	42299
288	1018437	38764
289	1021871	35236
290	1025697	31722
291	1029198	28197
292	1032680	24671
293	1036609	21155
294	1039718	17622
295	1043625	14103
296	1046655	10572
297	1050806	7052
298	1054019	3525
299	1057272	0
